Folder,File,NumRows,NumNaNs,NumChannels,NumPointAnomalies,NumSequenceAnomalies,Top3PointIndices,Top3SequenceIndices
mTSBench/CalIt2,CalIt2_traffic_val.csv,1008,0,3,0,8,[],"[(118, 124), (256, 262), (463, 465)]"
mTSBench/CalIt2,CalIt2_traffic_train.csv,940,0,3,0,0,[],[]
mTSBench/CalIt2,CalIt2_traffic_test.csv,4032,0,3,0,21,[],"[(118, 124), (208, 226), (228, 233)]"
mTSBench/cicids,cicids_5_train.csv,38180,0,73,0,0,[],[]
mTSBench/cicids,cicids_3_test.csv,230716,0,73,36,0,"[8678, 10705, 14875]",[]
mTSBench/cicids,cicids_2_test.csv,136185,0,73,1481,55,"[4, 8, 11]","[(49, 51), (165, 166), (2451, 2453)]"
mTSBench/cicids,cicids_3_train.csv,57679,0,73,0,0,[],[]
mTSBench/cicids,cicids_0_val.csv,138281,0,73,381,3782,"[1875, 2130, 2274]","[(0, 73), (75, 117), (119, 216)]"
mTSBench/cicids,cicids_2_train.csv,33466,0,73,0,0,[],[]
mTSBench/cicids,cicids_5_test.csv,152729,0,73,1110,315,"[18145, 18170, 18365]","[(18561, 18562), (18579, 18580), (23848, 23849)]"
mTSBench/cicids,cicids_7_train.csv,25784,0,73,0,0,[],[]
mTSBench/cicids,cicids_0_test.csv,414844,0,73,8656,2546,"[18, 49, 169]","[(0, 16), (20, 47), (51, 60)]"
mTSBench/cicids,cicids_7_test.csv,180569,0,73,0,19,[],"[(0, 4506), (7403, 13934), (16531, 23507)]"
mTSBench/cicids,cicids_6_test.csv,228877,0,73,191,1908,"[30327, 30355, 30360]","[(30362, 30363), (30527, 30591), (30593, 30759)]"
mTSBench/cicids,cicids_6_train.csv,56847,0,73,0,0,[],[]
mTSBench/cicids,cicids_0_train.csv,66766,0,73,0,0,[],[]
mTSBench/creditcard,creditcard_val.csv,56961,0,30,79,1,"[287, 509, 654]","[(45479, 45483)]"
mTSBench/creditcard,creditcard_test.csv,170885,0,30,219,10,"[352, 2217, 2482]","[(27335, 27338), (29412, 29415), (36738, 36741)]"
mTSBench/creditcard,creditcard_train.csv,56804,0,30,0,0,[],[]
mTSBench/Daphnet,Daphnet_S08R01E0_train.csv,2944,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S02R02E0_train.csv,12182,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S03R01E1_train.csv,4533,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S09R01E4_test.csv,7680,0,10,0,1,[],"[(41, 308)]"
mTSBench/Daphnet,Daphnet_S05R02E0_train.csv,6726,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S07R01E0_train.csv,14223,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S06R01E0_train.csv,10240,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S05R01E1_train.csv,2099,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S08R01E1_test.csv,8192,0,10,0,4,[],"[(0, 574), (1142, 2448), (3988, 5129)]"
mTSBench/Daphnet,Daphnet_S08R01E0_test.csv,11776,0,10,0,2,[],"[(4022, 5392), (9016, 9852)]"
mTSBench/Daphnet,Daphnet_S09R01E0_train.csv,1920,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S03R02E0_train.csv,3328,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S03R01E0_train.csv,9281,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S08R01E1_train.csv,1340,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S05R02E1_train.csv,6016,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S02R01E0_test.csv,20480,0,10,0,9,[],"[(6489, 6928), (7778, 7878), (8082, 8143)]"
mTSBench/Daphnet,Daphnet_S03R02E0_test.csv,13312,0,10,0,6,[],"[(765, 1390), (1935, 2018), (2176, 2489)]"
mTSBench/Daphnet,Daphnet_S07R02E0_test.csv,23040,0,10,0,8,[],"[(7470, 7569), (7834, 7887), (9438, 9598)]"
mTSBench/Daphnet,Daphnet_S06R01E0_test.csv,40960,0,10,0,7,[],"[(9119, 9239), (10473, 10880), (11086, 12951)]"
mTSBench/Daphnet,Daphnet_S06R01E1_test.csv,24576,0,10,0,2,[],"[(18849, 18946), (20004, 20177)]"
mTSBench/Daphnet,Daphnet_S07R02E0_train.csv,5760,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S06R01E1_train.csv,6144,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S01R01E1_test.csv,58880,0,10,0,14,[],"[(2481, 2674), (3212, 3245), (21686, 21812)]"
mTSBench/Daphnet,Daphnet_S05R01E0_train.csv,3788,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S05R01E0_test.csv,15872,0,10,0,4,[],"[(823, 1053), (2005, 2263), (3024, 3390)]"
mTSBench/Daphnet,Daphnet_S05R01E1_test.csv,11674,0,10,0,7,[],"[(125, 279), (479, 906), (1137, 1882)]"
mTSBench/Daphnet,Daphnet_S01R01E1_train.csv,13796,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S09R01E2_test.csv,28160,0,10,0,3,[],"[(684, 868), (2198, 4567), (5208, 6487)]"
