dataset,top3_prediction,top3_ground_truth
calit2_traffic,"['ALLM4TS', 'PCA', 'OmniAnomaly']","['USAD', 'LSTMAD', 'CNN']"
daphnet_s01r01e1,"['MCD', 'TimesNet', 'CNN']","['KMeansAD', 'OmniAnomaly', 'PCA']"
daphnet_s02r01e0,"['MCD', 'CNN', 'OFA']","['KMeansAD', 'OFA', 'KNN']"
daphnet_s02r02e0,"['MCD', 'TimesNet', 'OFA']","['KMeansAD', 'OFA', 'FITS']"
daphnet_s03r01e0,"['MCD', 'CNN', 'TimesNet']","['KMeansAD', 'KNN', 'TranAD']"
daphnet_s03r01e1,"['MCD', 'CNN', 'OmniAnomaly']","['IForest', 'TimesNet', 'FITS']"
daphnet_s03r02e0,"['MCD', 'CNN', 'KMeansAD']","['PCA', 'OmniAnomaly', 'IForest']"
daphnet_s05r01e0,"['MCD', 'KMeansAD', 'CNN']","['KMeansAD', 'KNN', 'LOF']"
daphnet_s05r01e1,"['MCD', 'KMeansAD', 'CNN']","['KMeansAD', 'OmniAnomaly', 'PCA']"
daphnet_s05r01e2,"['MCD', 'CNN', 'OFA']","['KMeansAD', 'LOF', 'KNN']"
daphnet_s05r01e3,"['MCD', 'CNN', 'OFA']","['KMeansAD', 'LOF', 'KNN']"
daphnet_s05r02e0,"['MCD', 'KMeansAD', 'CNN']","['FITS', 'OFA', 'TimesNet']"
daphnet_s05r02e1,"['MCD', 'CNN', 'TimesNet']","['FITS', 'OFA', 'ALLM4TS']"
daphnet_s06r01e0,"['MCD', 'CNN', 'OmniAnomaly']","['KMeansAD', 'LOF', 'KNN']"
daphnet_s06r01e1,"['MCD', 'CNN', 'TimesNet']","['KMeansAD', 'LOF', 'KNN']"
daphnet_s06r01e2,"['MCD', 'OmniAnomaly', 'KMeansAD']","['ALLM4TS', 'HBOS', 'CBLOF']"
daphnet_s07r01e0,"['MCD', 'OmniAnomaly', 'KMeansAD']","['KMeansAD', 'OFA', 'KNN']"
daphnet_s07r02e0,"['MCD', 'CNN', 'KMeansAD']","['KMeansAD', 'LOF', 'KNN']"
daphnet_s08r01e0,"['MCD', 'TimesNet', 'CNN']","['AnomalyTransformer', 'KMeansAD', 'RobustPCA']"
daphnet_s08r01e1,"['MCD', 'CNN', 'OmniAnomaly']","['LOF', 'AnomalyTransformer', 'RobustPCA']"
daphnet_s08r01e2,"['MCD', 'OFA', 'TimesNet']","['KMeansAD', 'OFA', 'PCA']"
daphnet_s08r01e3,"['MCD', 'CNN', 'LSTMAD']","['LOF', 'OFA', 'KMeansAD']"
daphnet_s09r01e0,"['MCD', 'TimesNet', 'OFA']","['KMeansAD', 'LOF', 'KNN']"
daphnet_s09r01e1,"['MCD', 'KMeansAD', 'OFA']","['KMeansAD', 'LOF', 'CBLOF']"
daphnet_s09r01e2,"['MCD', 'KMeansAD', 'OFA']","['COPOD', 'Donut', 'TranAD']"
