dataset,prediction,ground_truth
calit2_traffic,"['ALLM4TS', 'PCA', 'OmniAnomaly', 'KMeansAD', 'EIF', 'OFA', 'IForest', 'CBLOF', 'USAD', 'FITS', 'CNN', 'TimesNet', 'KNN', 'HBOS', 'TranAD', 'OCSVM', 'RobustPCA', 'COPOD', 'MCD', 'Donut', 'LSTMAD', 'LOF', 'AnomalyTransformer', 'AutoEncoder']","['USAD', 'LSTMAD', 'CNN', 'TranAD', 'RobustPCA', 'OmniAnomaly', 'PCA', 'ALLM4TS', 'COPOD', 'CBLOF', 'OCSVM', 'FITS', 'EIF', 'OFA', 'TimesNet', 'HBOS', 'IForest', 'KNN', 'LOF', 'MCD', 'AnomalyTransformer', 'Donut', 'AutoEncoder', 'KMeansAD']"
daphnet_s01r01e1,"['MCD', 'TimesNet', 'CNN', 'OmniAnomaly', 'OFA', 'LSTMAD', 'KMeansAD', 'PCA', 'ALLM4TS', 'USAD', 'TranAD', 'AutoEncoder', 'CBLOF', 'EIF', 'COPOD', 'FITS', 'IForest', 'HBOS', 'OCSVM', 'LOF', 'KNN', 'Donut', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'OmniAnomaly', 'PCA', 'KNN', 'ALLM4TS', 'IForest', 'FITS', 'CNN', 'USAD', 'LSTMAD', 'TranAD', 'TimesNet', 'OFA', 'Donut', 'CBLOF', 'HBOS', 'EIF', 'LOF', 'COPOD', 'MCD', 'OCSVM', 'AnomalyTransformer', 'AutoEncoder', 'RobustPCA']"
daphnet_s02r01e0,"['MCD', 'CNN', 'OFA', 'LSTMAD', 'TimesNet', 'KMeansAD', 'OmniAnomaly', 'PCA', 'ALLM4TS', 'USAD', 'TranAD', 'AutoEncoder', 'LOF', 'CBLOF', 'FITS', 'OCSVM', 'EIF', 'Donut', 'COPOD', 'KNN', 'HBOS', 'IForest', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'OFA', 'KNN', 'ALLM4TS', 'LSTMAD', 'HBOS', 'CNN', 'OmniAnomaly', 'PCA', 'FITS', 'CBLOF', 'EIF', 'COPOD', 'IForest', 'TranAD', 'USAD', 'TimesNet', 'Donut', 'MCD', 'OCSVM', 'AutoEncoder', 'LOF', 'AnomalyTransformer', 'RobustPCA']"
daphnet_s02r02e0,"['MCD', 'TimesNet', 'OFA', 'CNN', 'LSTMAD', 'OmniAnomaly', 'KMeansAD', 'ALLM4TS', 'PCA', 'AutoEncoder', 'USAD', 'TranAD', 'FITS', 'OCSVM', 'CBLOF', 'IForest', 'LOF', 'Donut', 'EIF', 'HBOS', 'COPOD', 'KNN', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'OFA', 'FITS', 'KNN', 'TimesNet', 'CBLOF', 'IForest', 'TranAD', 'EIF', 'COPOD', 'USAD', 'HBOS', 'LSTMAD', 'CNN', 'OmniAnomaly', 'PCA', 'Donut', 'LOF', 'ALLM4TS', 'AnomalyTransformer', 'AutoEncoder', 'MCD', 'OCSVM', 'RobustPCA']"
daphnet_s03r01e0,"['MCD', 'CNN', 'TimesNet', 'LSTMAD', 'OFA', 'OmniAnomaly', 'KMeansAD', 'PCA', 'AutoEncoder', 'USAD', 'EIF', 'TranAD', 'COPOD', 'ALLM4TS', 'CBLOF', 'FITS', 'HBOS', 'IForest', 'LOF', 'OCSVM', 'KNN', 'Donut', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'KNN', 'TranAD', 'USAD', 'CBLOF', 'IForest', 'FITS', 'CNN', 'HBOS', 'OmniAnomaly', 'PCA', 'EIF', 'TimesNet', 'COPOD', 'OFA', 'LSTMAD', 'LOF', 'Donut', 'AnomalyTransformer', 'MCD', 'ALLM4TS', 'OCSVM', 'AutoEncoder', 'RobustPCA']"
daphnet_s03r01e1,"['MCD', 'CNN', 'OmniAnomaly', 'KMeansAD', 'PCA', 'OFA', 'LSTMAD', 'TimesNet', 'USAD', 'AutoEncoder', 'ALLM4TS', 'TranAD', 'CBLOF', 'EIF', 'OCSVM', 'COPOD', 'FITS', 'HBOS', 'KNN', 'LOF', 'IForest', 'Donut', 'RobustPCA', 'AnomalyTransformer']","['IForest', 'TimesNet', 'FITS', 'HBOS', 'KMeansAD', 'KNN', 'PCA', 'OmniAnomaly', 'CNN', 'OFA', 'Donut', 'COPOD', 'EIF', 'TranAD', 'USAD', 'CBLOF', 'ALLM4TS', 'LSTMAD', 'AutoEncoder', 'LOF', 'MCD', 'OCSVM', 'AnomalyTransformer', 'RobustPCA']"
daphnet_s03r02e0,"['MCD', 'CNN', 'KMeansAD', 'LSTMAD', 'OFA', 'TimesNet', 'OmniAnomaly', 'PCA', 'USAD', 'ALLM4TS', 'AutoEncoder', 'TranAD', 'COPOD', 'OCSVM', 'CBLOF', 'EIF', 'LOF', 'FITS', 'HBOS', 'KNN', 'Donut', 'IForest', 'RobustPCA', 'AnomalyTransformer']","['PCA', 'OmniAnomaly', 'IForest', 'KMeansAD', 'OFA', 'ALLM4TS', 'FITS', 'TimesNet', 'KNN', 'USAD', 'TranAD', 'LSTMAD', 'EIF', 'CNN', 'CBLOF', 'COPOD', 'HBOS', 'Donut', 'AutoEncoder', 'LOF', 'MCD', 'OCSVM', 'AnomalyTransformer', 'RobustPCA']"
daphnet_s05r01e0,"['MCD', 'KMeansAD', 'CNN', 'OmniAnomaly', 'TimesNet', 'OFA', 'PCA', 'LSTMAD', 'ALLM4TS', 'USAD', 'TranAD', 'CBLOF', 'OCSVM', 'EIF', 'LOF', 'HBOS', 'COPOD', 'FITS', 'AutoEncoder', 'Donut', 'KNN', 'IForest', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'KNN', 'LOF', 'FITS', 'CBLOF', 'OFA', 'TimesNet', 'ALLM4TS', 'AnomalyTransformer', 'EIF', 'HBOS', 'LSTMAD', 'Donut', 'CNN', 'TranAD', 'USAD', 'RobustPCA', 'IForest', 'COPOD', 'PCA', 'OmniAnomaly', 'OCSVM', 'MCD', 'AutoEncoder']"
daphnet_s05r01e1,"['MCD', 'KMeansAD', 'CNN', 'OFA', 'LSTMAD', 'TimesNet', 'ALLM4TS', 'OmniAnomaly', 'PCA', 'AutoEncoder', 'USAD', 'LOF', 'OCSVM', 'TranAD', 'Donut', 'EIF', 'CBLOF', 'COPOD', 'FITS', 'HBOS', 'KNN', 'RobustPCA', 'IForest', 'AnomalyTransformer']","['KMeansAD', 'OmniAnomaly', 'PCA', 'OFA', 'KNN', 'TimesNet', 'FITS', 'IForest', 'EIF', 'HBOS', 'CBLOF', 'USAD', 'COPOD', 'TranAD', 'CNN', 'Donut', 'ALLM4TS', 'LOF', 'LSTMAD', 'AutoEncoder', 'AnomalyTransformer', 'MCD', 'OCSVM', 'RobustPCA']"
daphnet_s05r01e2,"['MCD', 'CNN', 'OFA', 'TimesNet', 'OmniAnomaly', 'LSTMAD', 'PCA', 'KMeansAD', 'ALLM4TS', 'AutoEncoder', 'USAD', 'TranAD', 'CBLOF', 'OCSVM', 'LOF', 'EIF', 'FITS', 'IForest', 'COPOD', 'HBOS', 'KNN', 'Donut', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'LOF', 'KNN', 'FITS', 'ALLM4TS', 'TimesNet', 'OFA', 'RobustPCA', 'AnomalyTransformer', 'Donut', 'HBOS', 'LSTMAD', 'USAD', 'CNN', 'COPOD', 'TranAD', 'EIF', 'OmniAnomaly', 'PCA', 'CBLOF', 'MCD', 'OCSVM', 'AutoEncoder', 'IForest']"
