Data,ALLM4TS,AnomalyTransformer,AutoEncoder,CBLOF,CNN,COPOD,Donut,EIF,FITS,HBOS,IForest,KMeansAD,KNN,LOF,LSTMAD,MCD,OCSVM,OFA,OmniAnomaly,PCA,RobustPCA,TimesNet,TranAD,USAD
Daphnet_S01R01E1,16.0,1.0,14.0,10.0,22.0,5.0,3.0,11.0,9.0,12.0,7.0,23.0,4.0,6.0,20.0,24.0,8.0,19.0,21.0,18.0,2.0,17.0,13.0,15.0
Daphnet_S02R01E0,18.0,1.0,14.0,5.0,21.0,6.0,4.0,9.0,8.0,12.0,3.0,23.0,7.0,11.0,22.0,24.0,10.0,20.0,19.0,17.0,2.0,16.0,13.0,15.0
Daphnet_S02R02E0,17.0,1.0,16.0,7.0,20.0,4.0,3.0,6.0,9.0,12.0,8.0,23.0,5.0,11.0,22.0,24.0,10.0,21.0,18.0,15.0,2.0,19.0,13.0,14.0
Daphnet_S03R01E0,14.0,1.0,17.0,8.0,22.0,9.0,3.0,11.0,4.0,13.0,10.0,23.0,6.0,7.0,21.0,24.0,5.0,19.0,20.0,16.0,2.0,18.0,12.0,15.0
Daphnet_S03R01E1,15.0,1.0,16.0,9.0,22.0,7.0,3.0,11.0,8.0,12.0,4.0,23.0,5.0,6.0,19.0,24.0,10.0,17.0,21.0,20.0,2.0,14.0,13.0,18.0
Daphnet_S03R02E0,15.0,1.0,18.0,8.0,21.0,6.0,4.0,11.0,5.0,12.0,3.0,23.0,7.0,9.0,22.0,24.0,10.0,20.0,19.0,17.0,2.0,14.0,13.0,16.0
Daphnet_S05R01E0,18.0,1.0,14.0,9.0,22.0,5.0,6.0,12.0,8.0,13.0,3.0,24.0,4.0,7.0,21.0,23.0,10.0,17.0,19.0,20.0,2.0,11.0,16.0,15.0
Daphnet_S05R01E1,22.0,1.0,17.0,9.0,21.0,4.0,10.0,6.0,7.0,11.0,2.0,23.0,5.0,8.0,20.0,24.0,12.0,19.0,18.0,16.0,3.0,15.0,14.0,13.0
Daphnet_S05R01E2,18.0,1.0,17.0,7.0,20.0,4.0,3.0,8.0,10.0,12.0,6.0,23.0,5.0,9.0,21.0,24.0,11.0,22.0,19.0,16.0,2.0,15.0,13.0,14.0
Daphnet_S05R01E3,17.0,1.0,20.0,4.0,19.0,7.0,3.0,10.0,6.0,12.0,5.0,23.0,8.0,11.0,22.0,24.0,9.0,21.0,18.0,15.0,2.0,16.0,13.0,14.0
Daphnet_S05R02E0,19.0,1.0,14.0,10.0,18.0,2.0,7.0,6.0,9.0,11.0,4.0,23.0,5.0,8.0,21.0,24.0,12.0,17.0,22.0,20.0,3.0,16.0,13.0,15.0
Daphnet_S05R02E1,17.0,1.0,15.0,7.0,21.0,5.0,4.0,9.0,8.0,12.0,3.0,23.0,6.0,11.0,22.0,24.0,10.0,20.0,19.0,16.0,2.0,18.0,13.0,14.0
Daphnet_S06R01E0,15.0,1.0,19.0,8.0,20.0,5.0,3.0,9.0,6.0,12.0,11.0,23.0,4.0,7.0,21.0,24.0,10.0,18.0,22.0,17.0,2.0,14.0,13.0,16.0
Daphnet_S06R01E1,16.0,1.0,18.0,9.0,22.0,7.0,3.0,11.0,5.0,12.0,10.0,23.0,6.0,4.0,20.0,24.0,8.0,19.0,21.0,17.0,2.0,14.0,13.0,15.0
Daphnet_S06R01E2,17.0,1.0,13.0,14.0,20.0,9.0,3.0,18.0,8.0,16.0,5.0,23.0,7.0,4.0,12.0,24.0,10.0,11.0,22.0,21.0,2.0,6.0,15.0,19.0
Daphnet_S07R01E0,20.0,1.0,16.0,11.0,19.0,7.0,3.0,12.0,8.0,13.0,5.0,23.0,6.0,4.0,15.0,24.0,9.0,17.0,22.0,21.0,2.0,10.0,14.0,18.0
Daphnet_S07R02E0,16.0,1.0,15.0,9.0,20.0,7.0,3.0,11.0,6.0,12.0,4.0,23.0,5.0,8.0,22.0,24.0,10.0,17.0,21.0,19.0,2.0,13.0,14.0,18.0
Daphnet_S08R01E0,17.0,1.0,15.0,4.0,20.0,9.0,3.0,11.0,10.0,13.0,5.0,23.0,7.0,8.0,21.0,24.0,6.0,22.0,19.0,16.0,2.0,18.0,12.0,14.0
Daphnet_S08R01E1,17.0,1.0,16.0,4.0,21.0,9.0,3.0,11.0,5.0,12.0,8.0,23.0,6.0,10.0,20.0,24.0,7.0,18.0,22.0,19.0,2.0,14.0,13.0,15.0
Daphnet_S08R01E2,19.0,1.0,14.0,5.0,21.0,4.0,3.0,9.0,10.0,12.0,6.0,23.0,7.0,11.0,20.0,24.0,8.0,22.0,18.0,17.0,2.0,16.0,13.0,15.0
Daphnet_S08R01E3,17.0,1.0,19.0,4.0,22.0,9.0,3.0,10.0,5.0,12.0,7.0,23.0,6.0,11.0,21.0,24.0,8.0,18.0,20.0,16.0,2.0,14.0,13.0,15.0
Daphnet_S09R01E0,21.0,1.0,15.0,3.0,19.0,4.0,5.0,6.0,10.0,11.0,7.0,22.0,8.0,12.0,20.0,24.0,9.0,23.0,18.0,17.0,2.0,16.0,13.0,14.0
Daphnet_S09R01E1,21.0,1.0,16.0,8.0,19.0,4.0,5.0,9.0,6.0,12.0,3.0,23.0,7.0,10.0,22.0,24.0,11.0,20.0,18.0,17.0,2.0,15.0,13.0,14.0
Daphnet_S09R01E2,20.0,1.0,19.0,10.0,21.0,5.0,6.0,9.0,8.0,13.0,3.0,23.0,4.0,7.0,18.0,24.0,12.0,17.0,22.0,16.0,2.0,11.0,14.0,15.0
Daphnet_S09R01E3,18.0,1.0,14.0,10.0,22.0,5.0,3.0,11.0,7.0,12.0,4.0,23.0,6.0,8.0,21.0,24.0,9.0,20.0,19.0,16.0,2.0,17.0,13.0,15.0
Daphnet_S09R01E4,19.0,1.0,18.0,6.0,21.0,3.0,7.0,9.0,5.0,12.0,4.0,23.0,8.0,10.0,22.0,24.0,11.0,20.0,17.0,16.0,2.0,14.0,13.0,15.0
Exathlon_10_2_1000000_67,23.0,1.0,5.0,9.0,18.0,13.0,19.0,16.0,7.0,21.0,2.0,24.0,20.0,14.0,11.0,22.0,12.0,17.0,15.0,10.0,4.0,6.0,3.0,8.0
Exathlon_10_3_1000000_75,24.0,1.0,14.0,7.0,18.0,2.0,16.0,10.0,8.0,11.0,3.0,23.0,6.0,5.0,15.0,22.0,12.0,19.0,21.0,20.0,4.0,9.0,13.0,17.0
Exathlon_10_4_1000000_79,22.0,1.0,15.0,6.0,19.0,5.0,18.0,10.0,4.0,12.0,2.0,24.0,8.0,11.0,13.0,23.0,14.0,20.0,21.0,17.0,3.0,9.0,7.0,16.0
Exathlon_1_4_1000000_80,22.0,1.0,8.0,6.0,21.0,7.0,19.0,11.0,4.0,15.0,2.0,24.0,12.0,13.0,17.0,23.0,9.0,18.0,20.0,16.0,3.0,5.0,10.0,14.0
Exathlon_1_5_1000000_86,20.0,2.0,12.0,5.0,13.0,15.0,17.0,16.0,11.0,22.0,1.0,24.0,23.0,21.0,7.0,19.0,18.0,14.0,8.0,6.0,10.0,9.0,3.0,4.0
Exathlon_2_1_100000_60,22.0,1.0,11.0,9.0,21.0,5.0,16.0,12.0,7.0,13.0,4.0,19.0,8.0,6.0,15.0,24.0,3.0,17.0,20.0,23.0,2.0,10.0,14.0,18.0
Exathlon_2_5_1000000_87,21.0,1.0,8.0,16.0,13.0,2.0,6.0,18.0,11.0,14.0,9.0,22.0,10.0,4.0,7.0,20.0,17.0,15.0,23.0,24.0,5.0,3.0,12.0,19.0
Exathlon_3_4_1000000_81,19.0,5.0,10.0,6.0,13.0,18.0,15.0,16.0,12.0,21.0,1.0,24.0,23.0,22.0,11.0,20.0,17.0,14.0,7.0,4.0,9.0,8.0,3.0,2.0
Exathlon_3_5_1000000_89,23.0,1.0,14.0,12.0,16.0,4.0,11.0,17.0,7.0,15.0,8.0,22.0,13.0,5.0,6.0,24.0,10.0,18.0,21.0,20.0,3.0,2.0,9.0,19.0
Exathlon_4_1_100000_61,23.0,1.0,2.0,10.0,21.0,13.0,18.0,15.0,7.0,22.0,5.0,24.0,19.0,8.0,11.0,20.0,9.0,17.0,16.0,14.0,6.0,12.0,4.0,3.0
Exathlon_5_1_100000_63,23.0,1.0,3.0,9.0,20.0,7.0,18.0,15.0,5.0,17.0,2.0,24.0,12.0,8.0,13.0,22.0,11.0,16.0,21.0,19.0,4.0,5.0,10.0,14.0
Exathlon_5_1_100000_64,23.0,1.0,6.0,11.0,19.0,5.0,18.0,14.0,7.0,12.0,2.0,24.0,9.0,3.0,15.0,22.0,10.0,17.0,21.0,20.0,4.0,8.0,13.0,16.0
Exathlon_5_1_500000_62,22.0,1.0,8.0,12.0,20.0,4.0,15.0,11.0,6.0,10.0,2.0,24.0,5.0,7.0,18.0,23.0,14.0,16.0,21.0,19.0,3.0,9.0,13.0,17.0
Exathlon_5_4_1000000_82,22.0,1.0,12.0,7.0,18.0,5.0,19.0,11.0,6.0,15.0,3.0,24.0,14.0,13.0,10.0,23.0,8.0,20.0,21.0,17.0,2.0,4.0,9.0,16.0
Exathlon_5_5_1000000_91,23.0,1.0,2.0,12.0,15.0,10.0,13.0,14.0,9.0,19.0,6.0,24.0,17.0,4.0,11.0,21.0,8.0,22.0,16.0,20.0,5.0,18.0,7.0,3.0
Exathlon_6_1_500000_65,24.0,1.0,13.0,14.0,19.0,2.0,20.0,6.0,7.0,9.0,3.0,23.0,8.0,4.0,15.0,22.0,12.0,21.0,18.0,17.0,5.0,11.0,10.0,16.0
Exathlon_6_3_200000_76,23.0,1.0,10.0,8.0,19.0,4.0,18.0,12.0,6.0,13.0,2.0,24.0,9.0,7.0,14.0,22.0,11.0,16.0,21.0,20.0,3.0,5.0,15.0,17.0
Exathlon_8_3_200000_73,20.0,1.0,12.0,8.0,19.0,4.0,16.0,15.0,7.0,14.0,6.0,24.0,9.0,3.0,11.0,22.0,10.0,17.0,23.0,21.0,2.0,5.0,13.0,18.0
Exathlon_8_4_1000000_77,23.0,1.0,4.0,10.0,15.0,14.0,12.0,20.0,9.0,22.0,2.0,24.0,17.0,11.0,6.0,21.0,16.0,13.0,19.0,18.0,7.0,3.0,5.0,8.0
Exathlon_8_5_1000000_83,23.0,1.0,13.0,11.0,17.0,4.0,19.0,10.0,7.0,12.0,3.0,24.0,14.0,6.0,16.0,22.0,8.0,20.0,21.0,18.0,2.0,5.0,9.0,15.0
Exathlon_9_2_1000000_66,19.0,1.0,2.0,17.0,12.0,18.0,6.0,21.0,11.0,23.0,13.0,24.0,22.0,8.0,5.0,20.0,10.0,15.0,16.0,14.0,3.0,7.0,4.0,9.0
Exathlon_9_3_500000_74,22.0,1.0,9.0,11.0,19.0,4.0,17.0,13.0,7.0,12.0,2.0,24.0,8.0,6.0,15.0,23.0,10.0,16.0,21.0,20.0,3.0,5.0,14.0,18.0
Exathlon_9_4_1000000_78,18.0,1.0,14.0,16.0,10.0,12.0,3.0,19.0,9.0,20.0,15.0,24.0,17.0,6.0,4.0,22.0,13.0,7.0,23.0,21.0,5.0,2.0,8.0,11.0
Exathlon_9_5_1000000_84,23.0,1.0,12.0,5.0,20.0,7.0,19.0,11.0,6.0,16.0,2.0,24.0,14.0,15.0,9.0,22.0,10.0,18.0,21.0,17.0,3.0,4.0,8.0,13.0
