dataset,top3_prediction,top3_ground_truth
cicids_2,"['OmniAnomaly', 'MCD', 'ALLM4TS']","['KMeansAD', 'AutoEncoder', 'OCSVM']"
cicids_3,"['MCD', 'CNN', 'LOF']","['USAD', 'PCA', 'OmniAnomaly']"
cicids_5,"['PCA', 'MCD', 'ALLM4TS']","['OmniAnomaly', 'PCA', 'OFA']"
cicids_6,"['MCD', 'CNN', 'ALLM4TS']","['OCSVM', 'LOF', 'AutoEncoder']"
cicids_7,"['OmniAnomaly', 'PCA', 'MCD']","['MCD', 'ALLM4TS', 'AutoEncoder']"
creditcard,"['IForest', 'KMeansAD', 'ALLM4TS']","['USAD', 'CNN', 'LSTMAD']"
daphnet_s01r01e1,"['PCA', 'MCD', 'ALLM4TS']","['KMeansAD', 'OmniAnomaly', 'PCA']"
daphnet_s02r01e0,"['OmniAnomaly', 'PCA', 'MCD']","['KMeansAD', 'OFA', 'KNN']"
daphnet_s02r02e0,"['OmniAnomaly', 'PCA', 'MCD']","['KMeansAD', 'OFA', 'FITS']"
daphnet_s03r01e0,"['OmniAnomaly', 'PCA', 'KMeansAD']","['KMeansAD', 'KNN', 'TranAD']"
daphnet_s03r01e1,"['PCA', 'KMeansAD', 'ALLM4TS']","['IForest', 'TimesNet', 'FITS']"
daphnet_s03r02e0,"['OmniAnomaly', 'PCA', 'KMeansAD']","['PCA', 'OmniAnomaly', 'IForest']"
daphnet_s05r01e0,"['PCA', 'KMeansAD', 'ALLM4TS']","['KMeansAD', 'KNN', 'LOF']"
daphnet_s05r01e1,"['CNN', 'KMeansAD', 'LOF']","['KMeansAD', 'OmniAnomaly', 'PCA']"
daphnet_s05r01e2,"['PCA', 'KMeansAD', 'ALLM4TS']","['KMeansAD', 'LOF', 'KNN']"
daphnet_s05r01e3,"['OmniAnomaly', 'PCA', 'KMeansAD']","['KMeansAD', 'LOF', 'KNN']"
daphnet_s05r02e0,"['OmniAnomaly', 'PCA', 'KMeansAD']","['FITS', 'OFA', 'TimesNet']"
daphnet_s05r02e1,"['OmniAnomaly', 'PCA', 'KMeansAD']","['FITS', 'OFA', 'ALLM4TS']"
daphnet_s06r01e0,"['PCA', 'KMeansAD', 'ALLM4TS']","['KMeansAD', 'LOF', 'KNN']"
daphnet_s06r01e1,"['OmniAnomaly', 'PCA', 'KMeansAD']","['KMeansAD', 'LOF', 'KNN']"
daphnet_s06r01e2,"['OmniAnomaly', 'PCA', 'KMeansAD']","['ALLM4TS', 'HBOS', 'CBLOF']"
daphnet_s07r01e0,"['OmniAnomaly', 'PCA', 'KMeansAD']","['KMeansAD', 'OFA', 'KNN']"
daphnet_s07r02e0,"['PCA', 'MCD', 'ALLM4TS']","['KMeansAD', 'LOF', 'KNN']"
daphnet_s08r01e0,"['PCA', 'KMeansAD', 'ALLM4TS']","['AnomalyTransformer', 'KMeansAD', 'RobustPCA']"
daphnet_s08r01e1,"['PCA', 'KMeansAD', 'ALLM4TS']","['LOF', 'AnomalyTransformer', 'RobustPCA']"
daphnet_s08r01e2,"['PCA', 'KMeansAD', 'ALLM4TS']","['KMeansAD', 'OFA', 'PCA']"
daphnet_s08r01e3,"['PCA', 'KMeansAD', 'ALLM4TS']","['LOF', 'OFA', 'KMeansAD']"
daphnet_s09r01e0,"['OmniAnomaly', 'PCA', 'MCD']","['KMeansAD', 'LOF', 'KNN']"
daphnet_s09r01e1,"['OmniAnomaly', 'PCA', 'KMeansAD']","['KMeansAD', 'LOF', 'CBLOF']"
daphnet_s09r01e2,"['OmniAnomaly', 'PCA', 'KMeansAD']","['COPOD', 'Donut', 'TranAD']"
daphnet_s09r01e3,"['OmniAnomaly', 'PCA', 'KMeansAD']","['KMeansAD', 'IForest', 'OFA']"
daphnet_s09r01e4,"['PCA', 'MCD', 'ALLM4TS']","['ALLM4TS', 'KMeansAD', 'IForest']"
exathlon_1_2_100000_68,"['MCD', 'OmniAnomaly', 'PCA']","['MCD', 'AutoEncoder', 'RobustPCA']"
exathlon_1_4_1000000_80,"['MCD', 'OmniAnomaly', 'OFA']","['AutoEncoder', 'Donut', 'USAD']"
exathlon_1_5_1000000_86,"['OmniAnomaly', 'PCA', 'MCD']","['IForest', 'KMeansAD', 'USAD']"
exathlon_10_2_1000000_67,"['MCD', 'OFA', 'OmniAnomaly']","['AutoEncoder', 'MCD', 'OCSVM']"
exathlon_10_3_1000000_75,"['MCD', 'OmniAnomaly', 'PCA']","['Donut', 'USAD', 'CNN']"
exathlon_10_4_1000000_79,"['KMeansAD', 'AutoEncoder', 'ALLM4TS']","['TranAD', 'Donut', 'USAD']"
exathlon_2_1_100000_60,"['OmniAnomaly', 'MCD', 'PCA']","['IForest', 'LSTMAD', 'CNN']"
exathlon_2_2_200000_69,"['OmniAnomaly', 'PCA', 'KMeansAD']","['PCA', 'OmniAnomaly', 'MCD']"
exathlon_2_5_1000000_87,"['OmniAnomaly', 'PCA', 'MCD']","['FITS', 'Donut', 'OmniAnomaly']"
exathlon_2_5_1000000_88,"['MCD', 'OmniAnomaly', 'PCA']","['IForest', 'KMeansAD', 'CNN']"
exathlon_3_2_500000_70,"['OmniAnomaly', 'PCA', 'MCD']","['OCSVM', 'AutoEncoder', 'HBOS']"
exathlon_3_4_1000000_81,"['PCA', 'KMeansAD', 'ALLM4TS']","['PCA', 'MCD', 'IForest']"
exathlon_3_5_1000000_89,"['MCD', 'AutoEncoder', 'Donut']","['TimesNet', 'OFA', 'FITS']"
exathlon_4_1_100000_61,"['OFA', 'MCD', 'OmniAnomaly']","['AutoEncoder', 'ALLM4TS', 'RobustPCA']"
exathlon_4_5_1000000_90,"['OmniAnomaly', 'MCD', 'PCA']","['PCA', 'OmniAnomaly', 'IForest']"
exathlon_5_1_100000_63,"['OFA', 'MCD', 'OmniAnomaly']","['RobustPCA', 'MCD', 'AutoEncoder']"
exathlon_5_1_100000_64,"['MCD', 'OmniAnomaly', 'PCA']","['OFA', 'Donut', 'OmniAnomaly']"
exathlon_5_1_500000_62,"['KMeansAD', 'CNN', 'ALLM4TS']","['AutoEncoder', 'Donut', 'TranAD']"
exathlon_5_2_1000000_72,"['OmniAnomaly', 'PCA', 'MCD']","['OCSVM', 'AutoEncoder', 'OFA']"
exathlon_5_4_1000000_82,"['OFA', 'MCD', 'OmniAnomaly']","['Donut', 'USAD', 'TranAD']"
exathlon_5_5_1000000_91,"['MCD', 'OmniAnomaly', 'PCA']","['OCSVM', 'MCD', 'KMeansAD']"
exathlon_6_1_500000_65,"['KMeansAD', 'AutoEncoder', 'RobustPCA']","['KMeansAD', 'MCD', 'OFA']"
exathlon_6_3_200000_76,"['OmniAnomaly', 'MCD', 'PCA']","['Donut', 'USAD', 'TranAD']"
exathlon_8_3_200000_73,"['MCD', 'OmniAnomaly', 'PCA']","['Donut', 'USAD', 'OmniAnomaly']"
exathlon_8_4_1000000_77,"['OmniAnomaly', 'PCA', 'MCD']","['EIF', 'CNN', 'LSTMAD']"
exathlon_8_5_1000000_83,"['MCD', 'AutoEncoder', 'ALLM4TS']","['OFA', 'OmniAnomaly', 'PCA']"
exathlon_9_2_1000000_66,"['OmniAnomaly', 'PCA', 'KMeansAD']","['MCD', 'OCSVM', 'ALLM4TS']"
exathlon_9_3_500000_74,"['OmniAnomaly', 'MCD', 'PCA']","['Donut', 'USAD', 'TranAD']"
exathlon_9_4_1000000_78,"['OmniAnomaly', 'PCA', 'MCD']","['AutoEncoder', 'CNN', 'LSTMAD']"
exathlon_9_5_1000000_84,"['OmniAnomaly', 'PCA', 'MCD']","['IForest', 'KMeansAD', 'CBLOF']"
gecco_water_quality,"['OmniAnomaly', 'PCA', 'MCD']","['LSTMAD', 'OFA', 'TimesNet']"
genesis,"['OFA', 'ALLM4TS', 'RobustPCA']","['KMeansAD', 'IForest', 'TranAD']"
ghl_17_lev_fault_temp_corr_seed_57_vars_23,"['RobustPCA', 'AutoEncoder', 'KMeansAD']","['OCSVM', 'MCD', 'AutoEncoder']"
ghl_18_lev_fault_temp_corr_seed_59_vars_23,"['RobustPCA', 'KMeansAD', 'AutoEncoder']","['MCD', 'OCSVM', 'AutoEncoder']"
ghl_19_lev_fault_temp_corr_seed_62_vars_23,"['RobustPCA', 'AutoEncoder', 'KMeansAD']","['OCSVM', 'OFA', 'EIF']"
ghl_20_lev_fault_temp_corr_seed_67_vars_23,"['RobustPCA', 'AutoEncoder', 'KMeansAD']","['MCD', 'AutoEncoder', 'OCSVM']"
ghl_21_lev_fault_temp_corr_seed_73_vars_23,"['RobustPCA', 'AutoEncoder', 'HBOS']","['OCSVM', 'MCD', 'ALLM4TS']"
ghl_22_lev_fault_temp_corr_seed_777_vars_23,"['RobustPCA', 'AutoEncoder', 'KMeansAD']","['OCSVM', 'MCD', 'EIF']"
ghl_24_lev_fault_temp_corr_seed_83_vars_23,"['RobustPCA', 'AutoEncoder', 'KMeansAD']","['MCD', 'OCSVM', 'OFA']"
ghl_41_lev_corr_temp_fault_seed_181_vars_23,"['RobustPCA', 'AutoEncoder', 'KMeansAD']","['KMeansAD', 'EIF', 'CBLOF']"
ghl_43_lev_corr_temp_fault_seed_189_vars_23,"['RobustPCA', 'AutoEncoder', 'KMeansAD']","['KMeansAD', 'LSTMAD', 'AnomalyTransformer']"
ghl_44_lev_corr_temp_fault_seed_190_vars_23,"['RobustPCA', 'AutoEncoder', 'KMeansAD']","['CNN', 'CBLOF', 'RobustPCA']"
ghl_45_lev_corr_temp_fault_seed_193_vars_23,"['RobustPCA', 'AutoEncoder', 'HBOS']","['OCSVM', 'ALLM4TS', 'AutoEncoder']"
ghl_46_lev_corr_temp_fault_seed_194_vars_23,"['RobustPCA', 'KMeansAD', 'AutoEncoder']","['CNN', 'EIF', 'KMeansAD']"
ghl_47_lev_corr_temp_fault_seed_197_vars_23,"['RobustPCA', 'AutoEncoder', 'KMeansAD']","['KMeansAD', 'CNN', 'RobustPCA']"
ghl_48_lev_corr_temp_fault_seed_199_vars_23,"['RobustPCA', 'AutoEncoder', 'KMeansAD']","['ALLM4TS', 'Donut', 'OCSVM']"
gutentag_0,"['OFA', 'MCD', 'OmniAnomaly']","['KMeansAD', 'OmniAnomaly', 'PCA']"
gutentag_1,"['MCD', 'OmniAnomaly', 'PCA']","['OFA', 'MCD', 'ALLM4TS']"
gutentag_10,"['MCD', 'OFA', 'OmniAnomaly']","['OFA', 'KNN', 'OmniAnomaly']"
gutentag_11,"['OFA', 'MCD', 'OmniAnomaly']","['AutoEncoder', 'LSTMAD', 'TranAD']"
gutentag_12,"['OFA', 'KMeansAD', 'ALLM4TS']","['KMeansAD', 'OFA', 'PCA']"
gutentag_13,"['MCD', 'OmniAnomaly', 'PCA']","['CNN', 'OmniAnomaly', 'PCA']"
gutentag_14,"['OmniAnomaly', 'MCD', 'PCA']","['OFA', 'KNN', 'KMeansAD']"
gutentag_15,"['OmniAnomaly', 'PCA', 'MCD']","['CNN', 'LSTMAD', 'OFA']"
gutentag_16,"['MCD', 'OFA', 'OmniAnomaly']","['OmniAnomaly', 'PCA', 'OFA']"
gutentag_17,"['MCD', 'OmniAnomaly', 'PCA']","['OmniAnomaly', 'PCA', 'OFA']"
gutentag_18,"['OFA', 'MCD', 'OmniAnomaly']","['PCA', 'OmniAnomaly', 'AutoEncoder']"
gutentag_19,"['OmniAnomaly', 'MCD', 'PCA']","['OmniAnomaly', 'PCA', 'CNN']"
gutentag_2,"['OmniAnomaly', 'PCA', 'MCD']","['AutoEncoder', 'TranAD', 'USAD']"
gutentag_20,"['OmniAnomaly', 'PCA', 'MCD']","['OmniAnomaly', 'PCA', 'CNN']"
gutentag_21,"['MCD', 'OmniAnomaly', 'PCA']","['OFA', 'ALLM4TS', 'KMeansAD']"
gutentag_22,"['OmniAnomaly', 'MCD', 'PCA']","['KMeansAD', 'KNN', 'LOF']"
gutentag_23,"['OmniAnomaly', 'MCD', 'PCA']","['OmniAnomaly', 'PCA', 'LSTMAD']"
gutentag_24,"['MCD', 'OmniAnomaly', 'PCA']","['OmniAnomaly', 'PCA', 'CNN']"
gutentag_25,"['OFA', 'MCD', 'OmniAnomaly']","['OFA', 'KNN', 'OmniAnomaly']"
gutentag_26,"['OmniAnomaly', 'MCD', 'PCA']","['PCA', 'OmniAnomaly', 'ALLM4TS']"
gutentag_27,"['MCD', 'OFA', 'OmniAnomaly']","['PCA', 'OmniAnomaly', 'USAD']"
gutentag_28,"['MCD', 'OmniAnomaly', 'PCA']","['OmniAnomaly', 'PCA', 'CNN']"
gutentag_29,"['OFA', 'MCD', 'OmniAnomaly']","['OFA', 'KNN', 'FITS']"
gutentag_3,"['MCD', 'OmniAnomaly', 'PCA']","['OmniAnomaly', 'PCA', 'OFA']"
