dataset,prediction,ground_truth
cicids_7,"['OmniAnomaly', 'PCA', 'MCD', 'KMeansAD', 'IForest', 'CNN', 'HBOS', 'EIF', 'COPOD', 'TimesNet', 'CBLOF', 'KNN', 'OFA', 'LSTMAD', 'FITS', 'USAD', 'TranAD', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['MCD', 'ALLM4TS', 'AutoEncoder', 'OCSVM', 'RobustPCA', 'AnomalyTransformer', 'FITS', 'LOF', 'LSTMAD', 'IForest', 'HBOS', 'KNN', 'COPOD', 'CNN', 'TimesNet', 'OFA', 'TranAD', 'Donut', 'KMeansAD', 'CBLOF', 'USAD', 'PCA', 'OmniAnomaly', 'EIF']"
daphnet_s02r01e0,"['OmniAnomaly', 'PCA', 'KMeansAD', 'MCD', 'IForest', 'CNN', 'HBOS', 'EIF', 'COPOD', 'TimesNet', 'CBLOF', 'KNN', 'OFA', 'LSTMAD', 'USAD', 'FITS', 'TranAD', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['KMeansAD', 'OFA', 'KNN', 'ALLM4TS', 'LSTMAD', 'HBOS', 'CNN', 'OmniAnomaly', 'PCA', 'FITS', 'CBLOF', 'EIF', 'COPOD', 'IForest', 'TranAD', 'USAD', 'TimesNet', 'Donut', 'MCD', 'OCSVM', 'AutoEncoder', 'LOF', 'AnomalyTransformer', 'RobustPCA']"
daphnet_s02r02e0,"['OmniAnomaly', 'PCA', 'MCD', 'KMeansAD', 'IForest', 'CNN', 'HBOS', 'EIF', 'COPOD', 'TimesNet', 'CBLOF', 'KNN', 'OFA', 'LSTMAD', 'FITS', 'USAD', 'TranAD', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['KMeansAD', 'OFA', 'FITS', 'KNN', 'TimesNet', 'CBLOF', 'IForest', 'TranAD', 'EIF', 'COPOD', 'USAD', 'HBOS', 'LSTMAD', 'CNN', 'OmniAnomaly', 'PCA', 'Donut', 'LOF', 'ALLM4TS', 'AnomalyTransformer', 'AutoEncoder', 'MCD', 'OCSVM', 'RobustPCA']"
daphnet_s03r01e0,"['OmniAnomaly', 'PCA', 'KMeansAD', 'IForest', 'MCD', 'HBOS', 'CNN', 'EIF', 'COPOD', 'CBLOF', 'KNN', 'TimesNet', 'USAD', 'TranAD', 'LSTMAD', 'FITS', 'OFA', 'OCSVM', 'ALLM4TS', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['KMeansAD', 'KNN', 'TranAD', 'USAD', 'CBLOF', 'IForest', 'FITS', 'CNN', 'HBOS', 'OmniAnomaly', 'PCA', 'EIF', 'TimesNet', 'COPOD', 'OFA', 'LSTMAD', 'LOF', 'Donut', 'AnomalyTransformer', 'MCD', 'ALLM4TS', 'OCSVM', 'AutoEncoder', 'RobustPCA']"
daphnet_s03r02e0,"['OmniAnomaly', 'PCA', 'KMeansAD', 'IForest', 'MCD', 'HBOS', 'EIF', 'CNN', 'COPOD', 'CBLOF', 'KNN', 'TimesNet', 'USAD', 'TranAD', 'LSTMAD', 'FITS', 'OFA', 'OCSVM', 'ALLM4TS', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['PCA', 'OmniAnomaly', 'IForest', 'KMeansAD', 'OFA', 'ALLM4TS', 'FITS', 'TimesNet', 'KNN', 'USAD', 'TranAD', 'LSTMAD', 'EIF', 'CNN', 'CBLOF', 'COPOD', 'HBOS', 'Donut', 'AutoEncoder', 'LOF', 'MCD', 'OCSVM', 'AnomalyTransformer', 'RobustPCA']"
daphnet_s05r01e3,"['OmniAnomaly', 'PCA', 'KMeansAD', 'IForest', 'MCD', 'HBOS', 'EIF', 'CNN', 'COPOD', 'CBLOF', 'KNN', 'TimesNet', 'USAD', 'TranAD', 'LSTMAD', 'FITS', 'OFA', 'OCSVM', 'ALLM4TS', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['KMeansAD', 'LOF', 'KNN', 'RobustPCA', 'FITS', 'AnomalyTransformer', 'HBOS', 'ALLM4TS', 'TimesNet', 'USAD', 'COPOD', 'OFA', 'MCD', 'EIF', 'TranAD', 'OCSVM', 'Donut', 'LSTMAD', 'CBLOF', 'CNN', 'OmniAnomaly', 'PCA', 'AutoEncoder', 'IForest']"
daphnet_s05r02e0,"['OmniAnomaly', 'PCA', 'KMeansAD', 'IForest', 'MCD', 'HBOS', 'CNN', 'EIF', 'COPOD', 'CBLOF', 'TimesNet', 'KNN', 'USAD', 'TranAD', 'LSTMAD', 'FITS', 'OFA', 'OCSVM', 'ALLM4TS', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['FITS', 'OFA', 'TimesNet', 'ALLM4TS', 'KMeansAD', 'KNN', 'CBLOF', 'USAD', 'IForest', 'EIF', 'CNN', 'OmniAnomaly', 'PCA', 'LOF', 'Donut', 'TranAD', 'HBOS', 'AnomalyTransformer', 'LSTMAD', 'COPOD', 'AutoEncoder', 'OCSVM', 'MCD', 'RobustPCA']"
daphnet_s05r02e1,"['OmniAnomaly', 'PCA', 'KMeansAD', 'MCD', 'IForest', 'HBOS', 'CNN', 'EIF', 'COPOD', 'CBLOF', 'TimesNet', 'KNN', 'USAD', 'LSTMAD', 'TranAD', 'OFA', 'FITS', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['FITS', 'OFA', 'ALLM4TS', 'KNN', 'KMeansAD', 'TimesNet', 'AutoEncoder', 'MCD', 'OCSVM', 'LOF', 'AnomalyTransformer', 'CBLOF', 'USAD', 'Donut', 'TranAD', 'EIF', 'RobustPCA', 'HBOS', 'LSTMAD', 'CNN', 'COPOD', 'OmniAnomaly', 'PCA', 'IForest']"
daphnet_s06r01e1,"['OmniAnomaly', 'PCA', 'KMeansAD', 'MCD', 'IForest', 'CNN', 'HBOS', 'EIF', 'COPOD', 'CBLOF', 'TimesNet', 'KNN', 'USAD', 'LSTMAD', 'TranAD', 'OFA', 'FITS', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['KMeansAD', 'LOF', 'KNN', 'CNN', 'MCD', 'LSTMAD', 'OCSVM', 'EIF', 'CBLOF', 'COPOD', 'HBOS', 'OFA', 'FITS', 'TranAD', 'Donut', 'USAD', 'OmniAnomaly', 'PCA', 'ALLM4TS', 'TimesNet', 'AutoEncoder', 'IForest', 'AnomalyTransformer', 'RobustPCA']"
daphnet_s06r01e2,"['OmniAnomaly', 'PCA', 'KMeansAD', 'MCD', 'IForest', 'CNN', 'HBOS', 'EIF', 'COPOD', 'TimesNet', 'CBLOF', 'KNN', 'OFA', 'LSTMAD', 'USAD', 'FITS', 'TranAD', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['ALLM4TS', 'HBOS', 'CBLOF', 'OFA', 'OmniAnomaly', 'PCA', 'AnomalyTransformer', 'KMeansAD', 'IForest', 'LOF', 'CNN', 'Donut', 'EIF', 'RobustPCA', 'KNN', 'MCD', 'OCSVM', 'TimesNet', 'FITS', 'AutoEncoder', 'USAD', 'COPOD', 'TranAD', 'LSTMAD']"
