FileName,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8,Rec_9,Rec_10,Rec_11,Rec_12,Rec_13,Rec_14,Rec_15,Rec_16,Rec_17,Rec_18,Rec_19,Rec_20,Rec_21,Rec_22,Rec_23,Rec_24,RunTimeSeconds
cicids_7_test.csv,OmniAnomaly,PCA,MCD,KMeansAD,IForest,CNN,HBOS,EIF,COPOD,TimesNet,CBLOF,KNN,OFA,LSTMAD,FITS,USAD,TranAD,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,18.001723051071167
Daphnet_S02R01E0_test.csv,OmniAnomaly,PCA,KMeansAD,MCD,IForest,CNN,HBOS,EIF,COPOD,TimesNet,CBLOF,KNN,OFA,LSTMAD,USAD,FITS,TranAD,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,1.7091538906097412
Daphnet_S02R02E0_test.csv,OmniAnomaly,PCA,MCD,KMeansAD,IForest,CNN,HBOS,EIF,COPOD,TimesNet,CBLOF,KNN,OFA,LSTMAD,FITS,USAD,TranAD,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,2.2700388431549072
Daphnet_S03R01E0_test.csv,OmniAnomaly,PCA,KMeansAD,IForest,MCD,HBOS,CNN,EIF,COPOD,CBLOF,KNN,TimesNet,USAD,TranAD,LSTMAD,FITS,OFA,OCSVM,ALLM4TS,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,2.3875339031219482
Daphnet_S03R02E0_test.csv,OmniAnomaly,PCA,KMeansAD,IForest,MCD,HBOS,EIF,CNN,COPOD,CBLOF,KNN,TimesNet,USAD,TranAD,LSTMAD,FITS,OFA,OCSVM,ALLM4TS,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,0.8838701248168945
Daphnet_S05R01E3_test.csv,OmniAnomaly,PCA,KMeansAD,IForest,MCD,HBOS,EIF,CNN,COPOD,CBLOF,KNN,TimesNet,USAD,TranAD,LSTMAD,FITS,OFA,OCSVM,ALLM4TS,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,0.40616512298583984
Daphnet_S05R02E0_test.csv,OmniAnomaly,PCA,KMeansAD,IForest,MCD,HBOS,CNN,EIF,COPOD,CBLOF,TimesNet,KNN,USAD,TranAD,LSTMAD,FITS,OFA,OCSVM,ALLM4TS,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,2.3839378356933594
Daphnet_S05R02E1_test.csv,OmniAnomaly,PCA,KMeansAD,MCD,IForest,HBOS,CNN,EIF,COPOD,CBLOF,TimesNet,KNN,USAD,LSTMAD,TranAD,OFA,FITS,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,2.246251106262207
Daphnet_S06R01E1_test.csv,OmniAnomaly,PCA,KMeansAD,MCD,IForest,CNN,HBOS,EIF,COPOD,CBLOF,TimesNet,KNN,USAD,LSTMAD,TranAD,OFA,FITS,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,2.2173521518707275
Daphnet_S06R01E2_test.csv,OmniAnomaly,PCA,KMeansAD,MCD,IForest,CNN,HBOS,EIF,COPOD,TimesNet,CBLOF,KNN,OFA,LSTMAD,USAD,FITS,TranAD,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,1.8161869049072266
Daphnet_S07R01E0_test.csv,OmniAnomaly,PCA,KMeansAD,IForest,MCD,HBOS,CNN,EIF,COPOD,CBLOF,TimesNet,KNN,USAD,TranAD,LSTMAD,OFA,FITS,OCSVM,ALLM4TS,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,2.515181064605713
Daphnet_S09R01E0_test.csv,OmniAnomaly,PCA,KMeansAD,MCD,IForest,CNN,HBOS,EIF,COPOD,TimesNet,CBLOF,KNN,OFA,LSTMAD,USAD,FITS,TranAD,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,0.37066006660461426
Daphnet_S09R01E1_test.csv,OmniAnomaly,PCA,KMeansAD,MCD,IForest,CNN,HBOS,EIF,COPOD,TimesNet,CBLOF,KNN,LSTMAD,USAD,OFA,TranAD,FITS,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,0.6859710216522217
Daphnet_S09R01E2_test.csv,OmniAnomaly,PCA,KMeansAD,MCD,IForest,CNN,HBOS,EIF,COPOD,CBLOF,TimesNet,KNN,USAD,LSTMAD,TranAD,OFA,FITS,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,2.327975034713745
Daphnet_S09R01E3_test.csv,OmniAnomaly,PCA,KMeansAD,MCD,IForest,CNN,HBOS,EIF,COPOD,TimesNet,CBLOF,KNN,LSTMAD,USAD,OFA,TranAD,FITS,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,2.368129014968872
Exathlon_1_2_100000_68_test.csv,OmniAnomaly,MCD,PCA,IForest,CNN,KMeansAD,HBOS,OFA,EIF,TimesNet,COPOD,KNN,LSTMAD,CBLOF,FITS,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,USAD,TranAD,Donut,LOF,AnomalyTransformer,0.20672106742858887
Exathlon_1_4_1000000_80_test.csv,OFA,MCD,ALLM4TS,RobustPCA,TimesNet,OCSVM,OmniAnomaly,AutoEncoder,PCA,CNN,IForest,HBOS,FITS,LSTMAD,COPOD,EIF,KMeansAD,KNN,CBLOF,TranAD,USAD,Donut,LOF,AnomalyTransformer,4.230702877044678
Exathlon_1_5_1000000_86_test.csv,OmniAnomaly,PCA,KMeansAD,MCD,IForest,CNN,HBOS,EIF,COPOD,TimesNet,CBLOF,KNN,OFA,LSTMAD,USAD,FITS,TranAD,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,0.3596830368041992
Exathlon_10_2_1000000_67_test.csv,MCD,OmniAnomaly,OFA,PCA,CNN,IForest,TimesNet,HBOS,KMeansAD,EIF,COPOD,ALLM4TS,LSTMAD,FITS,OCSVM,RobustPCA,KNN,AutoEncoder,CBLOF,TranAD,USAD,Donut,LOF,AnomalyTransformer,1.3155899047851562
Exathlon_10_3_1000000_75_test.csv,OmniAnomaly,MCD,PCA,IForest,CNN,KMeansAD,HBOS,OFA,EIF,TimesNet,COPOD,KNN,LSTMAD,CBLOF,FITS,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,USAD,TranAD,Donut,LOF,AnomalyTransformer,5.0194618701934814
Exathlon_2_1_100000_60_test.csv,MCD,OmniAnomaly,PCA,IForest,CNN,KMeansAD,HBOS,OFA,TimesNet,EIF,COPOD,LSTMAD,KNN,FITS,ALLM4TS,CBLOF,OCSVM,RobustPCA,AutoEncoder,USAD,TranAD,Donut,LOF,AnomalyTransformer,5.3685290813446045
Exathlon_2_2_200000_69_test.csv,OmniAnomaly,PCA,KMeansAD,MCD,IForest,CNN,HBOS,EIF,COPOD,CBLOF,TimesNet,KNN,LSTMAD,USAD,OFA,TranAD,FITS,ALLM4TS,OCSVM,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,0.23067092895507812
Exathlon_2_5_1000000_87_test.csv,OmniAnomaly,PCA,MCD,IForest,KMeansAD,CNN,HBOS,EIF,TimesNet,COPOD,OFA,KNN,CBLOF,LSTMAD,FITS,ALLM4TS,OCSVM,USAD,TranAD,RobustPCA,AutoEncoder,Donut,LOF,AnomalyTransformer,5.520621061325073
